traced_nodes,nl,trial,timestamp,strategy,numLocales,tracePath,totalTime,throughput,source_run
32,16,5,2026-07-18T00-21-00.001889,locgroup_dist_block,16,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,81.143871,29499625,run_20260717_215056
32,32,1,2026-07-18T00-23-04.035364,locgroup_dist_block,32,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,77.447035,30907753,run_20260717_215056
32,32,2,2026-07-18T00-24-42.665536,locgroup_dist_block,32,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,75.669342,31633866,run_20260717_215056
32,32,3,2026-07-18T00-26-22.828587,locgroup_dist_block,32,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,76.06748,31468294,run_20260717_215056
32,32,4,2026-07-18T00-28-01.289874,locgroup_dist_block,32,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,75.729641,31608677,run_20260717_215056
32,32,5,2026-07-18T00-29-39.635236,locgroup_dist_block,32,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,74.446459,32153494,run_20260717_215056
32,64,1,2026-07-18T00-31-44.757425,locgroup_dist_block,64,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,64.229186,37268319,run_20260717_215056
32,64,2,2026-07-18T00-33-11.435375,locgroup_dist_block,64,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,63.200437,37874956,run_20260717_215056
32,64,3,2026-07-18T00-34-37.590008,locgroup_dist_block,64,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,62.878886,38068642,run_20260717_215056
32,64,4,2026-07-18T00-36-04.588462,locgroup_dist_block,64,/lustre/orion/csc688/world-shared/scorep-amd/runs/frontier-32-node-single-HPL-run/results/traces.otf2,63.757383,37544104,run_20260717_215056
