traced_nodes,nl,trial,Task,Locale,Locations,Events,Open (s),Setup (s),EnterCB (s),LeaveCB (s),MetricCB (s),libOTF2 (s),WriteCG (s),WriteMet (s),Total (s)
384,128,1,8,8,5,29084749,0.001287,0.135175,12.799116,12.154413,0.000132,6.753054,146.272533,8.796472,186.912234
384,128,1,9,8,5,29222384,0.001206,0.110764,13.244682,12.373511,0.000142,8.960737,254.242983,0.121569,289.055623
384,128,1,10,8,5,28833006,0.001275,0.134663,13.17239,12.585049,0.000148,7.529479,228.404957,14.974565,276.802561
384,128,1,11,8,5,28865172,0.001258,0.110293,12.85561,12.196935,0.000139,7.533727,235.076308,12.871783,280.646084
384,128,1,12,8,6,29118292,0.001254,0.141021,13.019308,12.677282,0.000142,7.532763,224.472404,13.226258,271.070459
384,128,1,13,8,5,28810042,0.001152,0.13735,12.882959,12.423799,0.000138,6.861874,216.695867,10.225011,259.22818
384,128,1,14,8,48,75017111,0.001212,0.362031,13.078727,12.556213,90.419027,32.230897,102.629194,14.254136,265.531473
384,128,1,15,8,5,29066943,0.00124,0.136273,12.897555,12.435624,0.000134,6.785145,160.46562,3.39229,196.113916
384,128,1,16,8,5,28876790,0.001214,0.116968,18.506602,18.246975,0.000187,11.23272,235.501977,1.929722,285.536397
384,128,1,17,8,5,29245137,0.001184,0.162915,20.721244,19.142099,0.000176,10.29605,223.576158,8.312245,282.212102
384,128,1,18,8,5,28946996,0.001199,0.133882,12.815675,12.227383,0.000136,7.541982,231.273635,12.088156,276.082077
384,128,1,19,8,5,29065140,0.001077,0.13687,13.164964,12.626272,0.000135,7.51159,231.476943,12.655766,277.573645
384,128,1,20,8,5,28850865,0.001199,0.132777,14.0493,13.289782,0.000154,7.755918,228.239453,14.282822,277.751438
384,128,1,21,8,5,28856399,0.001279,0.135984,16.630087,15.027831,0.000152,8.941707,241.16182,2.2931,284.191992
384,128,1,22,8,5,29020071,0.001166,0.137952,12.937219,12.22264,0.000137,6.749442,187.406334,11.554802,231.009725
384,128,1,23,8,5,28835506,0.001288,0.109452,12.94738,12.3248,0.000137,6.741296,193.719962,7.712842,233.557188
384,128,1,0,9,5,28911156,0.001111,0.025098,12.791628,12.021127,0.000137,6.746082,218.713679,11.660103,261.958997
384,128,1,1,9,5,28872828,0.001004,0.247542,12.427735,11.798081,0.000146,7.014227,220.856488,9.786549,262.131809
384,128,1,2,9,5,28930340,0.001031,0.025824,18.522798,17.902208,0.000187,13.873813,230.268773,5.13159,285.726258
384,128,1,3,9,5,29194356,0.001071,0.021708,21.206879,19.862836,0.000175,11.052452,213.606676,12.425238,278.177067
384,128,1,4,9,5,28798394,0.001074,0.06464,12.759175,11.958796,0.000141,7.357209,225.39029,9.75276,267.284116
384,128,1,5,9,5,29208525,0.000653,0.017128,12.722355,12.23861,0.000141,7.40304,247.809382,5.113645,285.304981
384,128,1,6,9,5,28861374,0.000211,0.026842,14.052508,13.437602,0.000145,7.350026,208.07895,13.460686,256.407006
